Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,-0.17587040880217542,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: 0.0,0.0,0.0,0.0,0.0,0.0
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: 0.0,0.0,0.0,0.0,0.0,0.0
goals: -2.0256419644192958e-05,-6.250542591395195e-06,-6.179065748651494e-06,1.2881637161165223e-05,1.3833169645906207e-05,2.147537986989838e-05
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: -0.17587040880217542,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
state: 0.0,0.0,0.0,-0.17587040880217542,0.0,-0.5276112264065262
goals: -0.009315457209280342,-0.0028744794523260396,-0.002841608911444237,0.005923965926264312,0.00636155362935013,0.009876028722994454
