Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.134765625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.134765625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-33.3984375,39.375,-24.345703125,0.0,-15.205078124999998,-33.22265625
-31.376953125,37.79296875,-24.2578125,0.0,-14.326171875,-33.134765625
-31.46484375,37.880859375,-24.169921875,0.0,-14.326171875,-32.783203125
-31.46484375,37.79296875,-24.169921875,0.0,-14.326171875,-32.51953125
-26.718749999999996,33.3984375,-22.67578125,0.0,-10.8984375,-31.113281250000004
-26.015625,32.607421875,-22.763671875,0.0,-10.722656249999998,-29.091796875
-25.927734375000004,32.783203125,-22.763671875,0.0,-10.722656249999998,-28.125
-25.927734375000004,32.69531249999999,-22.763671875,0.0,-10.722656249999998,-27.685546875000004
-21.005859375,28.300781249999996,-21.181640625000004,0.0,-6.855468749999999,-25.83984375
-20.390625,27.421874999999996,-21.357421875,0.0,-6.855468749999999,-23.466796875
-20.390625,27.59765625,-21.357421875,0.0,-6.767578125,-22.324218750000004
-20.214843750000004,27.59765625,-21.357421875,0.0,-6.767578125,-21.884765625
-20.214843750000004,27.59765625,-21.357421875,0.0,-6.855468749999999,-21.533203125
-14.0625,21.972656249999996,-19.072265625,0.0,-1.8457031250000002,-19.51171875
-14.589843750000002,22.1484375,-19.86328125,0.0,-3.076171875,-17.40234375
-15.029296875,22.5,-19.599609375,-0.087890625,-3.076171875,-16.69921875
-12.041015625000002,18.017578125,-16.787109375,0.0,-0.3515625,-15.556640625000002
-12.041015625000002,16.347656249999996,-16.69921875,0.0,-0.3515625,-14.414062499999998
-12.041015625000002,16.787109375,-16.787109375,-0.087890625,-0.263671875,-13.710937499999998
-11.689453125,16.611328125,-16.69921875,-0.087890625,-0.263671875,-13.271484375
-9.931640625,12.392578125,-13.974609375,-0.17578125,2.373046875,-12.392578125
-9.31640625,10.634765625,-13.710937499999998,-0.17578125,2.4609375,-11.513671875
-9.052734375,10.8984375,-13.710937499999998,-0.17578125,2.4609375,-10.810546875
-9.052734375,10.810546875,-13.710937499999998,-0.17578125,2.4609375,-10.458984375
-9.052734375,10.8984375,-13.710937499999998,-0.17578125,2.4609375,-10.01953125
-7.207031249999999,6.679687499999999,-10.8984375,-0.17578125,5.185546875,-9.404296875
-6.767578125,6.591796875,-11.337890625,-0.17578125,4.921875,-8.7890625
-7.03125,6.591796875,-11.337890625,-0.17578125,4.658203125,-8.349609375
-7.03125,6.679687499999999,-11.337890625,-0.17578125,4.658203125,-7.910156250000001
-4.21875,-0.615234375,-5.273437499999999,-0.263671875,7.55859375,-7.03125
-3.779296875,-0.7910156249999999,-6.855468749999999,-0.3515625,6.15234375,-6.328124999999999
-4.130859375,-0.3515625,-6.328124999999999,-0.17578125,6.679687499999999,-5.888671875
-2.724609375,-5.009765625,-2.021484375,-0.17578125,7.734374999999999,-5.185546875
-2.373046875,-6.591796875,-1.8457031250000002,-0.17578125,7.734374999999999,-4.658203125
-2.9003906250000004,-6.064453125,-1.7578125,-0.17578125,7.734374999999999,-4.21875
-2.4609375,-6.328124999999999,-1.8457031250000002,-0.17578125,7.734374999999999,-3.9550781250000004
-1.6699218749999998,-10.810546875,2.548828125,-0.263671875,8.7890625,-3.4277343749999996
-1.3183593749999998,-12.216796874999998,2.9882812500000004,-0.263671875,8.7890625,-2.9003906250000004
-1.23046875,-12.041015625000002,2.9882812500000004,-0.263671875,8.7890625,-2.4609375
-1.23046875,-12.041015625000002,2.9003906250000004,-0.263671875,8.7890625,-2.021484375
-0.263671875,-15.820312500000002,6.591796875,-0.263671875,9.66796875,-1.6699218749999998
0.0,-15.908203125,5.976562500000001,-0.263671875,9.755859375,-1.40625
0.0,-15.732421875,5.976562500000001,-0.263671875,9.755859375,-1.0546875
0.0,-15.732421875,5.888671875,-0.263671875,9.755859375,-0.703125
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
0.0,-15.732421875,5.888671875,-0.263671875,9.66796875,-0.263671875
