Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92501173224365,-7.349132439134094,11.381012547332572,-0.005431313331237131,-4.022634072013561,-57.931154974404166
-57.92475547328732,-7.348872323852821,11.380666795951004,-0.005431351261384983,-4.022548464981519,-57.93089870666426
-56.86239591000673,-6.270525792750438,9.9473030923194,-0.005588596322735615,-3.6676517992050752,-56.86850272977532
-55.79497329484351,-5.187040018191195,8.507108184781888,-0.005746590791284546,-3.311063747297323,-55.801043527461786
-54.73720353564141,-4.113352361049715,7.0799371665651725,-0.005903156493170776,-2.9577003723390987,-54.7432375119722
-53.674742776720265,-3.0349031114594243,5.646436927090949,-0.006060416532985626,-2.602769900686881,-53.68074033597411
-52.6154803075051,-1.9597002811880995,4.217251904928008,-0.006217203178218813,-2.2489078642350218,-52.621441559307115
-51.55356848079026,-0.881808224436217,2.7844922993478654,-0.006374381967879345,-1.8941607713713868,-51.55949333433062
-50.49241418816393,0.19531489843981378,1.3527547788547976,-0.006531448631195522,-1.5396667437895248,-50.49830266940799
-49.429963196341944,1.2737542339502814,-0.08073228259013321,-0.006688707225334011,-1.1847395349788636,-49.43581526084385
-48.369204354451554,2.3504759551313863,-1.5119362504602838,-0.006845715356042788,-0.8303776134677849,-48.375020060211696
-47.300557401557874,3.4352044919249805,-2.953783066941337,-0.007003891044837852,-0.47338055373128374,-47.306336478202084
-46.24508699797991,4.506558191481136,-4.377851733555731,-0.007160116407794889,-0.12078531196698655,-46.25082989714973
-45.18433625641198,5.583271690441689,-5.809044772255936,-0.007317123339535119,0.23357390351354065,-45.19004279711769
-44.121706802701866,6.6618921734324035,-7.242772619214338,-0.007474408348694961,0.5885607301139372,-44.12737692054843
-42.90529810532292,7.536226886065165,-8.442707873585979,-0.0076312196043385756,0.9139994159943765,-42.91092601798715
-41.47337835082538,8.130331027539425,-9.322421524977587,-0.007787757767846338,1.1993895666205399,-41.478955963379754
-40.04096004029174,8.724642020134263,-10.202441469057424,-0.007944350433742276,1.4848790824393319,-40.04648733522311
-38.60880970702933,9.318841828840375,-11.082296778727398,-0.00810091380423268,1.7703151887890831,-38.614286693751126
-37.172821006500605,9.914634177828336,-11.96451022618591,-0.008257896786898174,2.056516304636644,-37.178247550179634
-35.73681288338491,10.510434585256254,-12.846735606097237,-0.008414881892850315,2.342721291521674,-35.742188983338906
-34.31158624402992,11.101761750288176,-13.722337277929414,-0.008570688361757684,2.6267774643654294,-34.31691227898809
-32.87884890747877,11.696205106919235,-14.602553218706607,-0.008727315903732913,2.912330563972983,-32.88412461360726
-31.446906736794933,12.290318548879135,-15.482280641697523,-0.008883856517789055,3.197725182278821,-31.45213214202614
-30.01416186611344,12.884765031424218,-16.36250121114004,-0.00904048488339907,3.483279783483505,-30.01933694225031
-28.582389542801565,13.478808003634128,-17.242124286767005,-0.009197006929657962,3.768640550194716,-28.587514324007497
-27.145680101008733,14.074899388492357,-18.124780528542143,-0.009354068704108745,4.05498531407652,-27.150754413853893
-25.716705761773547,14.667781475867406,-19.002684635783552,-0.009510284873388487,4.339788425867065,-25.721729877974635
-24.28514617021815,15.261736185577167,-19.882177017613134,-0.009666783663708366,4.625106793869943,-24.29011999896109
-22.852568707493955,15.68633812356745,-20.62867905471598,-0.009803413829711057,4.94677831006545,-22.85748310739747
-21.420658165028527,15.56010734088622,-20.941475054937072,-0.009875179170934488,5.385547028072114,-21.425483631294664
-19.988092887059523,15.43381883967257,-21.254414079907722,-0.009946977326579932,5.824516371361589,-19.99282937902371
-18.550164570204707,15.307057557111182,-21.568524642528775,-0.01001904427018679,6.265129067099947,-18.554811754777326
-17.123805801524696,15.181316193796187,-21.880107876600928,-0.010090531364321254,6.7021966001552835,-17.128364397271575
-15.677238533869543,15.053793340250628,-22.19610558871653,-0.010163031279984405,7.145456459424588,-15.681707285673648
-14.258179839750191,14.928695518622138,-22.506094146266534,-0.010234152504655472,7.580287089921182,-14.262560456124332
-12.812034386073432,14.80120985029665,-22.821999714549566,-0.010306631279595654,8.023417696158921,-12.816325184702977
-11.394556699443504,14.676251403166004,-23.131642906377103,-0.010377673266396345,8.45776387137097,-11.39875946083689
-9.96229905205609,14.549990021278553,-23.44451473049084,-0.010449456004029975,8.896638949919804,-9.966412858253973
-8.517136990709682,14.422591044390735,-23.76020548005549,-0.010521885492730516,9.339468223232554,-8.521161040239871
-7.0967612773330275,14.29737712027768,-24.07048173599424,-0.010593072724553284,9.774702417243754,-7.100697109635324
-5.665303987952371,14.171186294346501,-24.38317872461663,-0.010664815349369982,10.213332248588829,-5.669150914768095
-4.2321122911600995,14.0448425708714,-24.696254588654092,-0.010736644900245276,10.652493540310742,-4.235870204768025
-2.7883909716226176,13.91757060329093,-25.011630613058315,-0.010809002180993942,11.094881338812229,-2.792059218044985
-1.355415180565838,13.791245913092816,-25.324659313220312,-0.010880820910977623,11.533976472293135,-1.3589944271899612
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
0.0022559727942333112,13.671559740507414,-25.62123797074971,-0.010948865478498115,11.9499966172449,-0.001238951080345313
