Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.17578125,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.17578125,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.51171875,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-19.423828125,37.529296875,-35.859375,-0.087890625,-1.7578125,-16.787109375
-18.10546875,33.83789062500001,-33.83789062500001,-0.17578125,-1.0546875,-16.787109375
-17.490234375000004,32.87109375,-33.486328125,-0.087890625,-0.615234375,-16.787109375
-16.875,31.552734374999996,-32.51953125,-0.087890625,0.17578125,-16.787109375
-16.083984375,29.970703124999996,-31.640625000000004,-0.087890625,0.703125,-16.787109375
-15.556640625000002,28.564453124999996,-30.673828125000004,-0.087890625,1.3183593749999998,-16.347656249999996
-14.765625000000002,27.0703125,-29.794921874999996,-0.087890625,1.8457031250000002,-15.99609375
-14.0625,25.751953125,-28.916015625000004,-0.087890625,2.6367187499999996,-15.644531250000002
-13.447265625,24.169921875,-27.94921875,-0.087890625,3.076171875,-15.292968749999998
-12.744140625,22.763671875,-27.0703125,-0.087890625,3.6914062500000004,-14.677734375
-11.953125000000002,21.357421875,-26.191406250000004,-0.087890625,4.306640624999999,-14.0625
-11.425781249999998,19.86328125,-25.224609375,-0.087890625,4.833984375,-13.359374999999998
-10.722656249999998,18.369140625,-24.433593749999996,-0.087890625,5.537109375,-12.656249999999998
-10.01953125,16.962890625,-23.5546875,-0.087890625,5.976562500000001,-12.12890625
-9.228515625,15.556640625000002,-22.763671875,-0.17578125,6.591796875,-11.425781249999998
-8.613281249999998,14.414062499999998,-21.796875,-0.087890625,7.119140625,-10.634765625
-7.910156250000001,12.919921875,-20.91796875,-0.087890625,7.646484374999999,-9.931640625
-7.207031249999999,11.601562500000002,-20.0390625,-0.17578125,8.26171875,-9.31640625
-6.591796875,10.1953125,-19.160156249999996,-0.087890625,8.876953125,-8.613281249999998
-5.976562500000001,8.701171875,-18.017578125,-0.17578125,9.228515625,-7.910156250000001
-5.625,7.207031249999999,-16.5234375,-0.17578125,9.140625000000002,-7.382812500000001
-5.273437499999999,5.800781250000001,-15.1171875,-0.17578125,9.228515625,-7.03125
-4.921875,4.306640624999999,-13.623046875,-0.17578125,9.228515625,-6.679687499999999
-4.570312500000001,2.9003906250000004,-12.216796874999998,-0.17578125,9.228515625,-6.328124999999999
-4.21875,1.40625,-10.722656249999998,-0.17578125,9.31640625,-5.976562500000001
-4.130859375,1.40625,-10.722656249999998,-0.17578125,9.228515625,-5.625
-3.6035156249999996,-1.4941406250000002,-7.646484374999999,-0.263671875,9.31640625,-5.185546875
-2.9882812500000004,-3.076171875,-6.591796875,-0.263671875,9.31640625,-4.833984375
-2.8125,-4.306640624999999,-5.09765625,-0.263671875,9.31640625,-4.570312500000001
-2.548828125,-5.800781250000001,-3.6035156249999996,-0.17578125,9.31640625,-4.21875
-2.109375,-7.382812500000001,-2.2851562500000004,-0.17578125,9.404296875,-3.8671874999999996
-1.7578125,-8.701171875,-0.615234375,-0.17578125,9.31640625,-3.515625
-1.40625,-10.107421875000002,0.703125,-0.17578125,9.31640625,-3.076171875
-1.0546875,-11.601562500000002,2.109375,-0.263671875,9.31640625,-2.724609375
-0.7910156249999999,-13.0078125,3.6035156249999996,-0.17578125,9.404296875,-2.2851562500000004
-0.3515625,-14.414062499999998,4.833984375,-0.17578125,9.4921875,-1.9335937499999998
-0.087890625,-15.820312500000002,6.416015625,-0.263671875,9.4921875,-1.5820312499999998
0.0,-15.732421875,6.328124999999999,-0.17578125,9.4921875,-1.3183593749999998
0.0,-15.732421875,6.240234375,-0.17578125,9.4921875,-0.9667968749999999
0.0,-15.732421875,6.240234375,-0.17578125,9.4921875,-0.52734375
0.0,-15.732421875,6.240234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.240234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.17578125,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.263671875,9.4921875,-0.263671875
0.0,-15.732421875,6.15234375,-0.17578125,9.4921875,-0.263671875
