Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.36955400444616,37.60654952929564,-35.855183029722674,-0.002939550097235527,-1.7512158265364748,-19.363056615024163
-19.369166209631782,37.605727635662554,-35.85468287304826,-0.0029395501593525034,-1.7508941093451975,-19.3626688037345
-18.692126658955942,36.17080773623048,-34.98147405861143,-0.0029396586075528205,-1.1892175356762114,-18.68560048935039
-18.01597440882204,34.737768384549454,-34.10940963618758,-0.00293976691362533,-0.628277072516143,-18.009419513204755
-17.339517993303215,33.30408438372924,-33.23695291778206,-0.0029398752684190533,-0.0670842717030411,-17.33293435875188
-16.663110130703515,31.870503286129026,-32.36455882029272,-0.0029399836154355694,0.49406824928116716,-16.656497759280878
-15.986381368722832,30.436242073302115,-31.49175084422311,-0.0029400920138537502,1.055486990554314,-15.979740246795632
-15.312482253837409,29.007978024040174,-30.62259239318177,-0.0029401999590190388,1.6145582375288308,-15.305812501621878
-14.634125414615662,27.57026625883611,-29.747684611574858,-0.002940308618222645,2.1773276426524366,-14.62742684272747
-13.959296535659517,26.140031664477466,-28.877327001369046,-0.0029404167123175486,2.737170228165512,-13.9525692939824
-13.282082345864772,24.704741634309773,-28.003892946888524,-0.002940525188491561,3.298991683624398,-13.275326333059922
-12.608572985752886,23.27730363262494,-27.135237180370385,-0.0029406330712259277,3.8577395874123166,-12.601788359218249
-11.933986722705805,21.847583239239484,-26.26519248297759,-0.0029407411264586133,4.417380897132291,-11.927173436689671
-11.256031006020672,20.4107216144878,-25.390802047416834,-0.0029408497214104086,4.979817528296441,-11.249188917373377
-10.579915393605942,18.97775991291195,-24.51878487833187,-0.0029409580216142876,5.540727596557787,-10.573044580503458
-9.904610825805179,17.546517142017098,-23.64781375050861,-0.0029410661919050353,6.100964816741924,-9.897711322704355
-9.230745023466858,16.118323695479457,-22.778698264179944,-0.0029411741317343196,6.6600084274028815,-9.223816891492968
-8.554544078485748,14.685181139775592,-21.906571037788808,-0.0029412824456067693,7.220989288136332,-8.547587218431353
-7.877396175861216,13.25003159885925,-21.03322247689762,-0.002941390911162903,7.782755751312115,-7.870410547495265
-7.20146046742118,11.817451186372075,-20.16143733818119,-0.0029414991825497615,8.34351657002372,-7.194446122243174
-6.525359608767931,10.384520753967891,-19.28943919769589,-0.0029416074803903835,8.904414398465118,-6.518316539761539
-5.95142659819422,8.95587365359907,-18.251659113975844,-0.0029400869257735097,9.295252244212456,-5.944363832715127
-5.599865334337261,7.518604469079681,-16.827892368133842,-0.0029348847907366047,9.308737038617403,-5.592802916975543
-5.250591849731032,6.090688290582569,-15.41339076141234,-0.0029297165085094955,9.32213408094039,-5.243529778221316
